experiment,scaled,n_normal,n_attack,model,precision,recall,f1
base,False,500,50,IsolationForest,1.0,1.0,1.0
base,False,500,50,LOF,0.24,0.24,0.24
base,False,500,50,OneClassSVM,0.5102040816326531,0.5,0.5050505050505051
base,True,500,50,IsolationForest,1.0,1.0,1.0
base,True,500,50,LOF,0.1,0.1,0.1
base,True,500,50,OneClassSVM,0.6875,0.66,0.673469387755102
attack_avgbytes_similar,False,500,50,IsolationForest,1.0,1.0,1.0
attack_avgbytes_similar,False,500,50,LOF,0.2,0.2,0.2
attack_avgbytes_similar,False,500,50,OneClassSVM,0.27450980392156865,0.28,0.27722772277227725
attack_avgbytes_similar,True,500,50,IsolationForest,1.0,1.0,1.0
attack_avgbytes_similar,True,500,50,LOF,0.06,0.06,0.06
attack_avgbytes_similar,True,500,50,OneClassSVM,0.5,0.52,0.5098039215686274
imbalance_stronger,False,1000,10,IsolationForest,1.0,1.0,1.0
imbalance_stronger,False,1000,10,LOF,1.0,1.0,1.0
imbalance_stronger,False,1000,10,OneClassSVM,0.4444444444444444,0.4,0.42105263157894735
imbalance_stronger,True,1000,10,IsolationForest,1.0,1.0,1.0
imbalance_stronger,True,1000,10,LOF,1.0,1.0,1.0
imbalance_stronger,True,1000,10,OneClassSVM,0.2727272727272727,0.3,0.2857142857142857
