time,rps,unique_ips,avg_size,error_rate,post_count,unique_paths,bot_fraction,max_requests_from_one_ip,num_ips_over_threshold
2025-01-01 10:00,4.0,4.0,1926.5,0.0,2.0,4.0,0.0,1.0,0.0
2025-01-01 10:01,1.0,1.0,120.0,1.0,1.0,1.0,0.0,1.0,0.0
2025-01-01 10:02,1.0,1.0,2048.0,0.0,0.0,1.0,1.0,1.0,0.0
2025-01-01 10:05,1.0,1.0,256.0,1.0,0.0,1.0,1.0,1.0,0.0
2025-01-01 10:10,6.0,6.0,850.0,0.0,0.0,6.0,0.0,1.0,0.0
2025-01-01 10:11,6.0,6.0,850.0,0.0,0.0,6.0,0.0,1.0,0.0
2025-01-01 10:12,6.0,6.0,850.0,0.0,0.0,6.0,0.0,1.0,0.0
2025-01-01 10:13,6.0,6.0,850.0,0.0,0.0,6.0,0.0,1.0,0.0
2025-01-01 10:14,6.0,6.0,850.0,0.0,0.0,6.0,0.0,1.0,0.0
2025-01-01 10:20,30.0,1.0,1200.0,0.0,0.0,1.0,1.0,30.0,1.0
